Country,Cluster,PC1,PC2,GDP,GDP_per_capita,GDP_growth,Population,Inflation,Current_Account,Gov_Debt,Gov_Revenue,Gov_Expenditure,Savings
Vietnam,0,-1.2896769057291244,-1.1089844523191523,666.786,181540132.591,5.3,105.43,3.3,1.132,30.62,17.977,20.01,31.48
Sudan,0,-1.9186986572643767,2.636376502289331,55.57,11565206.451,5.48,57.322,16.144,-10.731,140.323,10.998,13.778,-1.231
Taiwan Province Of China,0,-0.9292836044102893,-2.1197590243568154,1169.821,1404634.74,2.193,23.279,1.547,12.82,9.844,18.152,17.685,36.94
"Mauritania, Islamic Republic Of",0,-0.2463452987961091,-0.4825715483900285,15.498,127640.468,2.987,5.166,4.0,-7.435,41.657,26.301,27.815,36.366
West Bank And Gaza,1,3.7043543934632197,3.2850307647783437,13.711,9036.708,-26.558,5.613,53.667,-21.136,65.573,34.644,38.183,22.404652173913043
Bahamas,0,-0.5662376305018746,0.6580395357934868,19.166,44194.441,1.5,0.434,1.997,-6.022,66.283,21.962,21.934,21.509
Jamaica,0,-0.0770398204933381,0.5692564038775906,27.814,1822378.021,1.549,2.769,5.0,0.27,51.698,28.217,28.931,16.014
Austria,1,2.252065044283828,-0.4533026202526096,685.248,63489.233,0.734,9.305,2.067,2.63,84.281,52.228,55.815,27.573
Benin,0,-1.2791310359577588,-0.5167047303054926,37.733,1232269.988,5.972,17.302,2.0,-4.217,46.782,17.515,20.415,31.6
Morocco,0,-0.13749290978173287,-0.3954922385880776,251.959,56036.932,3.798,39.33,2.011,-2.962,63.925,28.342,31.308,29.798
Jordan,0,-0.2397232514211077,0.8330336880409502,73.656,4376.117,3.0,11.933,2.314,-4.714,73.372,26.37,30.166,16.775
Zimbabwe,0,-1.3968982562867616,-0.25147126639477696,63.688,152669.862,3.528,19.285,8.021,3.097,35.149,15.125,15.216,22.404652173913043
Antigua And Barbuda,0,-0.7648777376875198,0.5305023448363604,2.929,70702.938,2.491,0.112,1.964,-8.738,58.346,20.489,21.016,25.104
Lebanon,0,-0.13714044271727685,3.9319515032512315,28.28,473016846.316,-7.5,5.354,45.243,-19.677,163.76,16.295,16.483,0.693
Niger,0,-1.8583260517565268,0.484172778867552,35.686,576781.898,6.023,34.846,2.0,-3.971,41.407,11.916,14.933,17.666
Singapore,0,-0.6080335508932212,-2.33543790949249,721.319,145304.921,2.507,6.314,1.971,16.85,178.674,20.087,18.142,40.103
Middle East And Central Asia,0,-0.5191067053061205,-0.6473701630354617,6991.414,76763671.0876802,3.74,42.835142131979694,6.216,0.475,47.422,24.23,25.684,27.332
Algeria,0,-0.1961036744912297,-0.5517468503042253,308.997,1062189.778,2.484,50.685,3.299,-2.727,81.11,22.308,31.53,32.917
Burundi,0,-1.131160123705999,1.511095199421462,9.73,3870690.797,4.512,16.774,13.367,-8.904,38.693,18.338,23.324,10.762
Latin America And The Caribbean (Lac),0,0.12247166527210018,0.16085602936598054,8984.77,76763671.0876802,2.58,42.835142131979694,3.598,-1.154,71.95,29.734,32.709,18.792
Botswana,0,-0.44201079627551426,-0.42237140642723464,28.775,137599.34,4.945,2.973,4.5,-1.085,56.052,24.359,30.967,28.503
Mauritius,0,-0.23354121016130258,-0.0128431334953035,21.447,850087.694,3.4,1.241,3.5,-1.742,75.123,28.824,27.293,24.98
"Afghanistan, Islamic Republic Of",0,-1.2842140865099465,5.252522126274136,18.08,29524.567,1.75,43.373,-4.263,-20.306,8.804,18.843,19.383,-27.872
Bhutan,0,-0.23475153139280394,1.0621090096490025,5.463,574793.057,6.462,0.822,4.0,-22.293,134.569,29.119,32.961,30.691
Tuvalu,1,6.921186721207516,0.25840212466234896,0.073,11388.961,1.791,0.01,2.459,-4.893,10.926,110.494,116.526,22.404652173913043
Germany,1,1.9131741869824685,-0.6715704785993781,6013.749,61802.469,0.679,83.893,2.177,4.224,73.583,48.163,52.213,25.482
Hungary,1,1.3002235536089783,-0.07312740618358496,331.126,11954585.463,2.548,9.443,3.0,1.663,78.829,43.405,47.73,22.486
Asean-5,0,-1.1095167749256547,-0.8293941644869021,4847.495,76763671.0876802,4.492,42.835142131979694,2.386,2.256,71.894,17.553,19.491,28.657
Kenya,0,-1.1493101612382797,0.5869421017313744,166.081,492804.625,4.97,57.976,4.99,-2.997,69.47,18.059,22.805,16.177
"North Macedonia, Republic Of",0,0.49438960609251825,-0.6667970790560914,25.523,770104.541,3.0,1.759,2.0,-2.539,55.539,34.602,37.132,34.077
France,1,2.246782323648722,0.1356238719880452,4009.171,49665.863,1.211,69.596,1.943,0.041,129.43,51.422,57.765,20.81
"Netherlands, The",1,1.4878920767440895,-1.2273297538973904,1607.568,75091.263,1.209,18.457,2.0,9.393,48.546,44.396,47.041,29.6
Argentina,0,0.14668695184113775,-0.06777499952481233,842.591,32084547.97,3.207,50.02,7.5,0.3,58.317,33.649,32.863,22.056
Ukraine,1,0.7883144430227483,0.3685705823004907,288.846,436961.91,4.1,33.936,5.0,-4.272,94.113,40.607,42.618,21.489
Cambodia,0,-1.498521350384334,-0.5216401094601126,69.565,15646384.201,5.506,18.239,3.0,-2.552,33.059,14.449,17.645,30.034
"San Marino, Republic Of",0,-0.6517411924145544,-0.9955677683980964,2.701,66592.727,1.28,0.035,2.0,15.051,55.545,20.242,20.612,22.404652173913043
"Equatorial Guinea, Republic Of",0,-1.1102857157074606,0.05123651181020815,16.181,4890245.472,2.12,1.871,2.462,-3.025,46.299,14.342,17.982,25.872
Sub-Saharan Africa (Ssa),0,-1.1311642527925976,0.1468366124404592,2955.782,76763671.0876802,4.586,42.835142131979694,6.636,-1.832,53.282,18.151,21.281,20.059
Serbia,0,0.6586732355287275,0.5397901145070857,148.706,2376975.655,4.0,6.294,3.0,-4.777,43.203,39.794,41.601,19.156
Other Advanced Economies (Advanced Economies Excluding G7 And Euro Area Countries),1,0.40276228066834635,-1.3862781986299821,12236.588,76763671.0876802,2.091,42.835142131979694,1.949,5.849,51.28,32.64,32.915,31.0
Bangladesh,0,-2.0506317346464438,-0.6582665541316857,716.74,562021.263,6.52,181.767,5.51,-1.983,44.171,9.507,14.641,27.25
Costa Rica,0,-1.368012133506292,0.8071783788775021,138.24,12771333.413,3.5,5.616,3.0,-1.657,57.444,14.692,16.813,13.713
Djibouti,0,-1.3655040366571642,-0.7863226954784193,6.557,1043530.252,5.5,1.117,1.262,8.316,17.307,18.25,18.131,22.603
Euro Area (Ea),1,1.8994529030829288,-0.7278782380297569,21463.176,76763671.0876802,1.125,42.835142131979694,2.045,2.116,92.194,46.591,50.25,24.646
Liechtenstein,0,-0.13131028998172428,-0.9160369319754237,12.119,210520.463,2.0,0.042,0.709,11.852,0.493,30.227,26.94,22.404652173913043
Qatar,0,-0.44258928880885584,-1.3543400018965197,296.845,338973.745,3.377,3.188,2.033,11.606,34.87,27.059,24.246,28.35
Thailand,0,-0.668695680123784,-0.31729602577677385,654.084,321467.456,2.485,70.4,1.75,2.661,68.888,21.02,23.416,23.464
"Ethiopia, The Federal Democratic Republic Of",0,-2.105267584611739,-0.3356143312036963,217.932,296847.742,7.496,119.246,9.436,-1.774,32.099,12.039,13.589,23.499
Italy,1,1.821601613161294,-0.37769482145599503,2985.05,43998.237,0.719,58.493,2.0,1.976,137.01,46.948,49.406,26.783
Nepal,0,-0.7312300802787735,-0.5200340489305653,70.123,338968.068,5.005,29.549,5.0,-3.467,48.078,22.784,26.005,31.319
Canada,1,1.1818183081503095,0.07708275211383513,2910.474,91144.331,1.635,42.522,1.944,-0.248,107.892,41.716,43.177,22.153
Malta,0,0.1618528207721068,-0.29039338671007575,38.339,53822.15,4.0,0.614,1.993,3.414,47.081,32.906,35.521,22.379
Suriname,0,-0.6638342251710911,-3.4162722348880203,11.543,660798.036,3.011,0.709,5.0,28.213,34.268,24.402,18.345,39.663
"Estonia, Republic Of",1,1.065028039382664,0.07214950043750835,61.302,38676.724,1.749,1.364,2.31,-1.426,35.442,40.86,43.645,23.418
Barbados,0,-0.22402968476803747,1.2265713341950304,9.656,65400.098,2.0,0.295,2.402,-5.014,75.937,27.571,27.051,12.781
"Aruba, Kingdom Of The Netherlands",0,-0.4143961435305083,-1.002208141826333,5.193,85531.634,1.336,0.109,2.289,6.718,52.137,23.381,22.339,30.578
"Türkiye, Republic Of",0,-0.1282413051198496,-0.8558583155637776,1961.776,1928318.129,3.816,88.006,15.004,-1.339,25.851,28.964,32.402,32.363
Iceland,1,1.0700839254792567,-0.4036756582377872,58.161,14934607.711,2.397,0.433,2.5,0.705,37.768,42.8,42.842,27.132
Georgia,0,-0.4552553101011258,0.5202544173965862,49.802,42822.676,5.0,3.678,3.0,-4.927,35.094,27.673,29.784,19.07
"Madagascar, Republic Of",0,-1.561391627052278,0.46591039448457866,30.993,4175792.291,5.013,36.065,6.0,-4.975,49.539,13.625,17.183,19.895
Grenada,0,-0.20337746881665938,1.7433030251277342,1.852,41866.588,2.735,0.119,1.98,-12.296,67.359,28.915,28.707,12.449
Guatemala,0,-1.5820353444073192,0.3152687790556318,174.485,67567.605,3.855,19.858,4.041,-0.017,30.781,12.425,15.266,17.536
Togo,0,-0.9926629678006859,-0.48200880314755734,16.241,831591.294,5.5,11.035,2.25,0.232,63.323,20.239,23.263,27.533
"Moldova, Republic Of",0,0.3691596453021321,1.7610707588423995,30.003,247432.099,3.5,2.182,5.0,-14.785,42.713,35.395,38.877,13.603
"Uzbekistan, Republic Of",0,-0.6034924359460443,-0.7333720641047834,240.767,80517075.082,5.715,41.829,4.983,-4.782,29.881,25.995,28.324,33.892
"Poland, Republic Of",1,1.2603711823989623,0.5148453297175246,1386.324,142285.052,2.555,35.924,2.5,-1.597,75.926,43.213,48.233,16.977
United Kingdom,1,1.0838901283076,0.6894926688895762,5199.779,49793.67,1.443,71.88,2.0,-2.205,105.417,40.55,42.786,14.751
Gabon,0,-0.4558255898960714,-0.18644319133067958,26.903,5929175.787,2.843,2.566,1.989,-3.537,103.297,18.721,28.811,30.374
"Congo, Democratic Republic Of The",0,-1.7412921537181283,0.6075578223431417,115.223,3464384.192,5.437,125.093,6.952,-3.174,6.274,15.087,16.478,12.841
Iraq,0,0.4313001766622165,0.5869426619162511,345.909,8780846.341,4.127,51.212,3.576,0.866,69.833,35.579,41.486,12.554
Senegal,0,-0.6486562463461881,0.32123360335327017,50.165,1292223.174,4.613,21.955,2.019,-4.859,111.764,22.936,25.925,23.371
Chile,0,-0.34879454696896994,0.24060383512732994,431.103,20897515.901,2.215,20.735,3.0,-2.878,44.434,25.489,26.382,22.257
"Bahrain, Kingdom Of",0,-0.44336476170672473,-0.6824599511882578,59.377,12495.569,3.222,1.787,2.0,2.721,157.32,18.512,28.174,31.789
"Croatia, Republic Of",1,1.3433588074220546,0.008055642825812585,135.725,30436.714,2.5,3.845,2.392,-0.656,59.352,45.004,47.484,23.411
"Latvia, Republic Of",1,1.0346397559854343,0.44977611385074323,63.664,29676.74,2.43,1.85,2.15,-2.5,53.52,40.701,45.019,19.477
Japan,1,1.2136571620500547,-0.6790778149407227,5119.885,5982171.943,0.496,119.898,1.999,3.457,222.163,36.989,41.385,29.676
Norway,1,2.2551286553512226,-2.0447980565987383,621.811,1093011.147,1.331,5.846,2.0,12.903,40.004,59.018,50.251,36.74
Papua New Guinea,0,-0.9925175177790757,-0.8610048496476054,38.29,12878.665,3.1,14.205,4.5,11.476,40.227,19.399,19.001,22.404652173913043
Honduras,0,-0.6129809918190583,0.4627358839027726,51.079,126957.554,3.8,11.833,4.0,-3.988,38.071,24.555,25.791,19.675
"China, People'S Republic Of",1,-0.6043847363508903,-4.525340397967246,26336.991,131582.215,3.362,1387.277,1.974,2.06,116.135,25.723,33.709,42.65
Belize,0,-0.27384373140586543,0.5639192556402488,3.926,17430.939,2.0,0.451,1.26,-1.373,62.005,25.701,27.247,17.616
Czech Republic,1,1.057141834078306,-0.20648636303864215,485.675,955644.557,2.016,10.738,2.0,-0.004,52.458,40.166,43.979,25.598
"Timor-Leste, Democratic Republic Of",1,2.0755691179930684,2.5500001834361443,2.797,1853.897,3.2,1.509,2.0,-33.926,14.672,31.409,83.256,22.404652173913043
Guinea,0,-1.7265869751428673,0.2830045457955122,47.778,24275427.582,7.767,17.879,2.959,-0.139,24.079,16.64,18.74,15.203
Sierra Leone,0,-1.7437055481073718,0.582679526659479,11.165,36063761.315,4.585,9.767,9.0,-3.266,29.839,12.539,13.465,17.102
Bulgaria,0,0.31689208789226603,0.29837005971068215,177.26,49756.608,2.644,6.007,2.407,-0.131,36.046,33.26,36.398,18.593
Spain,1,1.2253938685995562,-0.17143400972282294,2380.017,39457.379,1.591,52.004,2.0,1.763,92.563,42.187,44.204,23.048
"Kazakhstan, Republic Of",0,-0.9703798228805605,-0.3777321118726863,429.484,14003816.791,3.429,21.441,5.896,-2.624,30.226,19.262,20.213,29.331
"Gambia, The",0,-0.9010546684240177,-0.043822439453147614,3.569,87159.611,5.036,3.253,5.0,-1.277,49.657,22.528,23.018,23.441
Paraguay,0,-1.0348067168077153,0.0016849137206429853,64.347,69522785.305,3.5,7.37,3.5,-1.223,38.183,18.736,20.022,23.221
New Zealand,0,0.5658289590974979,0.5441074547163156,327.463,98790.794,2.193,5.593,2.015,-3.394,52.997,36.924,36.932,19.105
"Yemen, Republic Of",0,-1.1235998903497293,-0.20978273774019687,25.778,2067476.171,5.0,47.668,10.0,3.957,51.946,19.617,21.683,19.818
Namibia,0,0.27838218925513397,1.9512507230320593,20.58,109096.443,3.018,3.336,3.0,-9.859,65.041,33.703,37.308,6.959
St. Vincent And The Grenadines,0,-0.22902674321524996,1.3152675710829127,1.563,37744.362,2.7,0.112,2.003,-8.931,74.718,28.644,27.518,14.964
Greece,1,1.5916441301393596,0.8608829290545944,351.607,29399.14,1.565,10.302,2.0,-3.14,130.199,46.775,48.159,16.615
Israel,1,0.6423437894143925,-0.6995089562104538,799.062,255170.899,3.368,11.144,2.057,2.819,71.956,35.989,40.478,28.898
Turkmenistan,0,-1.449952316989715,0.2787700508372471,110.589,55021.231,2.309,7.035,8.0,-3.58,3.784,12.784,13.967,22.404652173913043
Indonesia,0,-1.6553152521729624,-1.1761165367652302,2079.139,115609255.74,5.138,297.431,2.517,-1.074,41.529,14.293,16.986,30.373
"Iran, Islamic Republic Of",0,-2.6378838815258767,-4.992019191768512,511.317,13636926970.857,1.999,92.007,25.0,3.0,39.295,10.682,14.043,44.513
"Armenia, Republic Of",0,-0.5293616368950902,0.5011955084485187,38.388,5272227.549,4.5,3.052,3.016,-4.319,53.077,25.5,28.157,19.535
Cabo Verde,0,-0.5647258378477577,0.5955783738243478,4.102,791670.779,4.461,0.529,2.0,-3.377,80.701,25.942,26.026,18.019
Luxembourg,1,1.6477975842432873,-1.211396191558758,126.829,144478.233,2.115,0.757,2.001,11.976,30.591,48.241,50.553,26.55
Portugal,1,1.1556236866729142,0.1796326304856197,420.083,34061.102,1.65,10.633,2.025,1.127,77.354,42.354,43.264,20.134
"Fiji, Republic Of",0,-0.17925864367709352,0.49871933606672936,8.261,19699.334,3.194,0.956,3.5,-5.571,79.351,26.415,30.865,22.404652173913043
Burkina Faso,0,-0.8558509286462471,0.8314485699435971,40.216,839891.902,4.743,26.991,2.0,-3.879,49.816,22.403,25.403,13.975
"São Tomé And Príncipe, Democratic Republic Of",0,-1.0569904126114156,0.8452615445475602,1.618,127993.441,3.5,0.265,5.0,-3.724,30.533,21.673,18.04,14.681
